DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,PTS,Min,2PT,3PT,RB,Off Reb,Def Reb,AST,STL,BLK,TO
41556538,Cade Cunningham,PG/G/UTIL,DET,IND,Confirmed,10500,27.25,52.15,27.25,52.15,4.966666667,16.32,13.99585405,0,100,120.4355,229.4815,52.1499,45.15,51.9,58.95,62.8,69.65,77.2515,50.3011,43.14,50.04,57.3,61.22,68.12,76.0806,50.3011,43.14,50.04,57.3,61.22,68.12,76.0806,51.8494,44.86,51.64,58.7,62.52,69.16,76.8808,10.7184,10.8742,10.8742,10.6423,26.6633,33.915,8.0197,2.3608,6.5778,1.22875,5.34905,9.71105,1.08505,0.6616,4.20565
41556547,Jamal Murray,PG/G/UTIL,DEN,WAS,Confirmed,10000,62.75,51.66,62.75,51.66,5.166,24.03,18.57614251,0,100,118.9137,227.2024,51.6603,44.275,51.05,57.8,61.55,67.955,75.451,50.2237,42.61,49.7,56.42,60.32,66.5,74.6,50.2237,42.61,49.7,56.42,60.32,66.5,74.6,50.7363,43.38,50.1,56.78,60.56,66.52,74.3,10.3335,10.3535,10.3535,10.0997,25.8383,34.5835,6.3005,3.36793,5.92823,1.23847,4.68977,9.2138,1.34433,0.380433,2.34087
41556541,Shai Gilgeous-Alexander,PG/G/UTIL,OKC,MIA,Confirmed,10300,50.5,50.92,50.5,50.92,4.94368932,17.47,14.74093181,0,100,122.6375,235.7107,50.9212,44.05,50.8,57.95,61.45,68.3,76.3015,49.9966,42.9,49.8,57.02,60.809,67.82,75.7804,49.9966,42.9,49.8,57.02,60.809,67.82,75.7804,50.8705,43.9,50.7,57.805,61.5,68.285,76.3012,10.4412,10.6618,10.6618,10.4406,32.4152,32.164,9.76057,1.94223,4.884,0.856233,4.02777,6.3472,1.07877,0.6154,2.84467
41556553,Victor Wembanyama,C/UTIL,SAS,MIN,Confirmed,9700,59.75,48.93,59.75,48.93,5.044329897,16.9,14.48165593,0,100,118.8008,232.1678,48.9265,40.5,47.25,54.5,58.25,65.75,74.5025,49.1457,40.2,47.5,54.7,59.2,66.605,75.6,49.1457,40.2,47.5,54.7,59.2,66.605,75.6,50.1881,41.375,48.5,55.6,60,67.6,76.301,10.6298,11.1163,11.1163,10.9394,23.8818,27.6606,6.58633,2.17267,10.9463,2.13317,8.81317,2.6855,0.990667,2.26417,3.0905
41556550,Jaylen Brown,SF/F/UTIL,BOS,ATL,Confirmed,10000,56,48.48,56,48.48,4.848,11.61,10.78006721,0,100,117.194,231.7745,48.4761,41.25,48.1,55,59,65.75,73.4,47.5923,40.24,47.26,54.42,58.3,65.2,73.1604,47.5923,40.24,47.26,54.42,58.3,65.2,73.1604,48.0688,40.9,47.74,54.62,58.44,65.24,72.7804,10.3947,10.6012,10.6012,10.2667,29.3109,34.443,8.5036,2.4959,5.7899,1.352,4.4379,5.23827,1.68647,0.296667,2.6279
41556555,Anthony Edwards,SG/G/UTIL,MIN,SAS,Confirmed,9300,68,48.13,68,48.13,5.175268817,21.42,17.94839844,0,100,113.367,232.1678,48.1272,39,46.25,53.75,58,65.5,73.5,46.45,37.1,44.65,52.1,56.3,64,71.801,46.45,37.1,44.65,52.1,56.3,64,71.801,47.2908,38.1,45.5,52.8,56.9,64.5,72.2,11.1959,11.1753,11.1753,10.9332,27.811,35.4299,6.28583,3.62433,6.1415,1.607,4.5345,4.57983,1.12283,0.7325,2.76717
41556544,Jalen Johnson,PF/F/UTIL,ATL,BOS,Confirmed,10200,30.5,48.09,30.5,48.09,4.714705882,8.99,8.951789396,0,100,114.5805,231.7745,48.0921,41.1,48.1,55.25,59.15,65.4,72.601,47.4793,40.14,47.4,54.72,58.94,65.64,73.2006,47.4793,40.14,47.4,54.72,58.94,65.64,73.2006,48.0996,41,48.1,55.2,59.24,65.803,72.9006,10.6369,10.9276,10.9276,10.6823,19.2726,35.4329,6.06733,1.58093,11.2338,2.38667,8.8471,7.5998,1.26937,0.693867,2.56297
41556561,Karl-Anthony Towns,C/UTIL,NYK,PHX,Confirmed,8800,45.25,45.61,43.25,45.61,5.182954545,20.69,16.96195845,0,100,113.633,225.1628,45.6109,38.45,45.05,51.675,55.5,62.1,70.1,44.4093,37.22,43.96,50.72,54.42,61.102,68.8616,44.4093,37.22,43.96,50.72,54.42,61.102,68.8616,45.1015,38.02,44.5,51.16,54.96,61.42,69.3214,9.98236,10.0286,10.0286,9.85488,23.3908,32.3481,6.38603,1.95887,12.0814,2.735,9.34643,2.60217,0.852533,0.6507,2.16333
41556558,Stephen Curry,PG/G/UTIL,GSW,CHA,Confirmed,9000,24.75,44.95,24.75,44.95,4.994444444,16.16,14.46661554,0,100,121.6335,235.8063,44.9548,36.95,44.1,51.35,55.35,61.7,69.0515,42.3844,34.76,41.49,48.54,52.32,58.66,65.7412,42.3844,34.76,41.49,48.54,52.32,58.66,65.7412,43.2696,35.76,42.42,49.255,53.02,59.24,66.121,10.3893,10.1186,10.1186,9.88025,27.6504,31.6875,4.43607,4.97757,3.3939,0.724267,2.66963,5.57643,1.06733,0.4529,2.91303
41556580,Julius Randle,PF/F/UTIL,MIN,SAS,Confirmed,8300,39.5,42.27,39.5,42.27,5.092771084,14.98,13.61046599,0,100,113.367,232.1678,42.2693,33,39.5,46.5,50.25,56.75,64.5025,40.4631,31.2,37.8,44.6,48.5,54.9,62.501,40.4631,31.2,37.8,44.6,48.5,54.9,62.501,41.4352,32.2,38.8,45.5,49.2,55.4,63.1,10.0586,10.002,10.002,9.81053,20.5473,33.173,5.3125,2.106,8.05067,2.10933,5.94133,4.98233,0.752333,0.274833,2.69133
41556563,Devin Booker,PG/SG/G/UTIL,PHX,NYK,Confirmed,8800,38.5,42.04,38.5,42.04,4.777272727,6.32,6.781121713,0,100,111.5298,225.1628,42.0357,33.85,40.5,47.15,50.75,56.9,64.2015,40.645,32.5,39.14,45.84,49.54,55.72,62.842,40.645,32.5,39.14,45.84,49.54,55.72,62.842,41.5682,33.56,40.04,46.6,50.18,56.18,63.2206,9.86142,9.91657,9.91657,9.70444,24.1179,33.8849,6.94733,2.08387,3.5486,0.776,2.7726,6.63793,0.794533,0.382667,2.6532
