Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5080718078,lostories (37/150),0,336.25,C Robert Williams F Justin Edwards G Tyrese Maxey PF Jerami Grant PG Shai Gilgeous-Alexander SF Jabari Walker SG Javon Small UTIL Jrue Holiday,,Quentin Grimes,SG,47.08%,25.75
2,5080579388,skijmb (2/150),0,335.75,C Robert Williams F Jaylen Wells G Javon Small PF Jabari Walker PG Tyrese Maxey SF Jaylen Brown SG Walter Clayton Jr. UTIL Jrue Holiday,,Tyrese Maxey,PG,39.66%,45
3,5080515570,monarch11 (9/20),0,334,C Karl-Anthony Towns F Olivier-Maxence Prosper G Jrue Holiday PF Jerami Grant PG Tyrese Maxey SF Jabari Walker SG Quentin Grimes UTIL Javon Small,,Donovan Clingan,C,39.16%,28.75
4,5080491865,B_Heals152 (117/150),0,330.75,C Robert Williams F Jabari Walker G Cam Spencer PF OG Anunoby PG Jalen Brunson SF Jaylen Brown SG Quentin Grimes UTIL Jrue Holiday,,Trendon Watford,PF,38.51%,21.75
5,5080968106,Headdie_Brosevelt (113/150),0,327.5,C Karl-Anthony Towns F Jerami Grant G Walter Clayton Jr. PF Olivier-Maxence Prosper PG Keyonte George SF Jaylen Wells SG Javon Small UTIL Jrue Holiday,,Shai Gilgeous-Alexander,PG,25.10%,42.75
6,5080912443,belladfsqueen,0,325.25,C Robert Williams F Jabari Walker G Shai Gilgeous-Alexander PF Dominick Barlow PG Tyrese Maxey SF Jaylen Wells SG Cam Spencer UTIL Jrue Holiday,,Jaylen Brown,SF,23.45%,44.75
7,5080472509,rsbathla (124/150),0,325,C Olivier-Maxence Prosper F Jerami Grant G Tyrese Maxey PF Trendon Watford PG Shai Gilgeous-Alexander SF Jabari Walker SG Quentin Grimes UTIL Jrue Holiday,,Tyrese Maxey,G,20.06%,45
8,5080444120,alewisjr25 (3/4),0,324.75,C Ryan Kalkbrenner F Jaylen Wells G Walter Clayton Jr. PF Jerami Grant PG Shai Gilgeous-Alexander SF Jabari Walker SG Jaylen Brown UTIL Jrue Holiday,,Gregory Jackson,F,14.61%,32.5
9,5080765593,zborn19 (3/3),0,324.25,C Donovan Clingan F Jerami Grant G Jrue Holiday PF Gregory Jackson PG Tyrese Maxey SF Jabari Walker SG Quentin Grimes UTIL Cam Spencer,,Karl-Anthony Towns,C,13.68%,41.25
10,5080491852,B_Heals152 (104/150),0,324,C Olivier-Maxence Prosper F Jaylen Wells G Javon Small PF Jabari Walker PG Tyrese Maxey SF Jaylen Brown SG Quentin Grimes UTIL Jrue Holiday,,Olivier-Maxence Prosper,F,13.53%,33.75
10,5080577997,mythicalrhymer01 (2/3),0,324,C Olivier-Maxence Prosper F Jaylen Wells G Tyrese Maxey PF Jabari Walker PG Quentin Grimes SF Jaylen Brown SG Javon Small UTIL Jrue Holiday,,Javon Small,G,13.18%,32.25
12,5080968883,AbsoluteUnit7 (5/5),0,323,C Donovan Clingan F Olivier-Maxence Prosper G Jrue Holiday PF Jerami Grant PG Shai Gilgeous-Alexander SF Jaylen Wells SG Quentin Grimes UTIL Robert Williams,,Javon Small,UTIL,13.02%,32.25
13,5080883891,mr3rdday (1/2),0,322.25,C Robert Williams F Kyle Filipowski G Javon Small PF Jerami Grant PG Tyrese Maxey SF Jaylen Wells SG Quentin Grimes UTIL Jrue Holiday,,Donovan Clingan,UTIL,12.94%,28.75
13,5080979578,aarondp987 (110/150),0,322.25,C Karl-Anthony Towns F Jaylen Wells G Walter Clayton Jr. PF Jerami Grant PG Jrue Holiday SF Brandon Miller SG Cam Spencer UTIL Javon Small,,Walter Clayton Jr.,SG,12.35%,29
15,5080392038,billsfan777 (70/150),0,322,C Donovan Clingan F Gregory Jackson G Quentin Grimes PF Jerami Grant PG Shai Gilgeous-Alexander SF Jabari Walker SG Cam Spencer UTIL Jrue Holiday,,Olivier-Maxence Prosper,PF,11.92%,33.75
16,5080392003,billsfan777 (35/150),0,321.75,C Donovan Clingan F Jerami Grant G Tyrese Maxey PF Olivier-Maxence Prosper PG Jrue Holiday SF Jabari Walker SG Quentin Grimes UTIL Gregory Jackson,,Walter Clayton Jr.,G,11.51%,29
