Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5081132502,gingerguy007 (19/30),0,279.75,C Jay Huff F Zaccharie Risacher G CJ McCollum PF Jalen Johnson PG Ryan Rollins SF Dyson Daniels SG Bennedict Mathurin UTIL Ousmane Dieng,,Ousmane Dieng,SF,50.63%,18.5
2,5080737083,cpamike (1/2),0,278.25,C Onyeka Okongwu F Ousmane Dieng G Kawhi Leonard PF Micah Potter PG Ryan Rollins SF Bennedict Mathurin SG Dyson Daniels UTIL Zaccharie Risacher,,Jalen Johnson,PF,48.41%,42.75
2,5080737084,cpamike (2/2),0,278.25,C Onyeka Okongwu F Ousmane Dieng G Kawhi Leonard PF Micah Potter PG Ryan Rollins SF Bennedict Mathurin SG Dyson Daniels UTIL Zaccharie Risacher,,Ryan Rollins,PG,45.14%,49
2,5080916212,Zupsic,0,278.25,C Onyeka Okongwu F Jarace Walker G Bennedict Mathurin PF Micah Potter PG Ryan Rollins SF Ousmane Dieng SG Dyson Daniels UTIL CJ McCollum,,Yanic Konan Niederhauser,C,26.03%,15
2,5081137181,baconinyomouf,0,278.25,C Onyeka Okongwu F Ousmane Dieng G CJ McCollum PF Micah Potter PG Ryan Rollins SF Jarace Walker SG Dyson Daniels UTIL Bennedict Mathurin,,Dyson Daniels,SG,25.17%,38.5
6,5081032073,B-LOVE,0,278,C Brook Lopez F Kawhi Leonard G Ryan Rollins PF Micah Potter PG CJ McCollum SF Dyson Daniels SG Bennedict Mathurin UTIL Zaccharie Risacher,,Giannis Antetokounmpo,PF,23.55%,37.25
7,5080937342,antsK (8/123),0,277.75,C Onyeka Okongwu F Kawhi Leonard G Bennedict Mathurin PF Bobby Portis PG Ryan Rollins SF Ousmane Dieng SG Dyson Daniels UTIL Mouhamed Gueye,,Kawhi Leonard,F,17.60%,45.5
8,5081061840,sambo310,0,277.5,C Brook Lopez F Corey Kispert G Bennedict Mathurin PF Kyle Kuzma PG Ryan Rollins SF Dyson Daniels SG CJ McCollum UTIL Kawhi Leonard,,Cam Thomas,SG,17.41%,18
9,5080391296,bpcologna (91/150),0,277.25,C Yanic Konan Niederhauser F Kawhi Leonard G Bennedict Mathurin PF Bobby Portis PG Ryan Rollins SF Dyson Daniels SG CJ McCollum UTIL Brook Lopez,,Brook Lopez,C,17.21%,24.25
9,5080442501,jdm68a (72/150),0,277.25,C Brook Lopez F Kawhi Leonard G Ryan Rollins PF Bobby Portis PG CJ McCollum SF Bennedict Mathurin SG Dyson Daniels UTIL Yanic Konan Niederhauser,,Yanic Konan Niederhauser,UTIL,15.40%,15
9,5080535380,invertedcheese (42/150),0,277.25,C Brook Lopez F Bennedict Mathurin G Kawhi Leonard PF Bobby Portis PG Ryan Rollins SF Dyson Daniels SG CJ McCollum UTIL Yanic Konan Niederhauser,,CJ McCollum,SG,15.23%,37
