DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,PTS,Min,2PT,3PT,RB,Off Reb,Def Reb,AST,STL,BLK,TO
42173274,Jalen Johnson,PF/F/UTIL,ATL,MIL,Confirmed,10000,42.75,50.6,42.75,50.6,5.06,51.41,41.84252078,0,100,116.1412,233.0212,49.0379,39.775,46.8,53.925,57.9,64.3,71.7,48.5536,38.86,46.22,53.62,57.7,64.42,72.1206,48.5536,38.86,46.22,53.62,57.7,64.42,72.1206,49.0898,39.7,46.78,54,57.98,64.7,72.1004,10.687,11.02,11.02,10.767,20.6952,34.0451,6.4938,1.68667,10.5644,2.1362,8.42817,6.0181,1.4326,0.727733,2.5818
42173271,Giannis Antetokounmpo,PF/F/UTIL,MIL,ATL,Confirmed,10500,37.25,48.3,37.25,48.3,4.6,36.49,31.56820491,0,100,116.88,233.0212,47.8121,40.35,46.85,53.45,57.2,63.4,70.8015,47.4669,39.76,46.38,53.26,57.28,63.78,71.6606,47.4669,39.76,46.38,53.26,57.28,63.78,71.6606,48.2539,40.75,47.16,53.92,57.8,64.242,71.9612,9.80687,10.1762,10.1762,10.003,24.5335,26.8206,8.76227,0.454,9.8396,1.74617,8.09343,5.39477,0.7752,0.748367,2.33437
42173277,Kawhi Leonard,SG/SF/F/G/UTIL,LAC,IND,Confirmed,9500,45.5,47.7,45.5,47.7,5.021052632,39.31,34.72536262,0,100,120.0305,227.1423,44.3485,37.75,44.05,50.7,54.45,60.75,68.1025,43.822,37.085,43.74,50.46,54.18,60.743,68.1606,43.822,37.085,43.74,50.46,54.18,60.743,68.1606,44.1821,37.64,44.02,50.64,54.22,60.403,67.541,9.71439,9.91786,9.91786,9.64789,26.5608,28.3838,7.93055,2.18643,5.96048,1.17378,4.7867,4.33235,1.48533,0.467033,2.1362
42173296,Ryan Rollins,PG/G/UTIL,MIL,ATL,Confirmed,7200,49,37.5,49,37.5,5.208333333,49.31,43.40547713,0,100,116.88,233.0212,36.9333,30.35,36.7,43.3,46.565,52.8,60,36.5134,29.82,36.48,43.08,46.7,52.98,60.0618,36.5134,29.82,36.48,43.08,46.7,52.98,60.0618,36.9625,30.46,36.88,43.28,46.64,52.782,59.6216,9.42629,9.74139,9.74139,9.39761,16.9059,32.7093,3.4574,2.21123,4.76973,0.894,3.87573,6.48303,1.7215,0.5353,2.53417
42173282,Pascal Siakam,PF/C/F/UTIL,IND,LAC,Confirmed,8500,37.25333333,34.2,37.25,34.2,4.023529412,20.27,20.12194337,0,100,107.1118,227.1423,35.1211,27.5,33.8,40.3,44.05,50.2,57.75,34.8944,27.16,33.44,40.23,44.009,50.44,57.76,34.8944,27.16,33.44,40.23,44.009,50.44,57.76,35.1462,27.56,33.8,40.4,44.1,50.28,57.4214,9.43189,9.64243,9.64243,9.42146,20.8844,27.8329,6.61285,1.19792,4.98567,1.27598,3.70968,2.9908,1.0347,0.348783,1.59287
42173292,Nickeil Alexander-Walker,PG/SG/G/UTIL,ATL,MIL,Confirmed,7500,30.25,33.4,30.25,33.4,4.453333333,32.71,31.29018462,0,100,116.1412,233.0212,33.8753,26.8,32.8,39.4,43,49.25,56.3,32.5956,25.64,31.6,38.015,41.64,47.582,54.64,32.5956,25.64,31.6,38.015,41.64,47.582,54.64,33.0534,26.3,32.1,38.32,41.94,47.645,54.5006,9.35979,9.23732,9.23732,9.01403,17.2289,33.0246,2.79717,3.28537,4.1652,0.865998,3.2992,4.645,1.03917,0.5576,2.014
42173319,Dyson Daniels,SG/SF/F/G/UTIL,ATL,MIL,Confirmed,6200,38.5,32.2,38.5,32.2,5.193548387,36.57,34.31469057,0,100,116.1412,233.0212,29.2936,22.7,28,33.5,36.5,42.1625,48.8015,30.7978,23.54,29.28,35.36,38.68,44.78,51.862,30.7978,23.54,29.28,35.36,38.68,44.78,51.862,30.2361,23.34,28.84,34.58,37.68,43.402,50.1404,8.06093,8.76545,8.76545,8.32097,9.34789,31.1003,2.71713,1.03304,5.16857,1.044,4.12457,4.70057,2.342,0.464067,1.3469
42173309,Bennedict Mathurin,SG/SF/F/G/UTIL,LAC,IND,,6700,43,32.1,43,32.1,4.791044776,42.37,38.24120985,0,100,120.0305,227.1423,33.1525,26.1,31.6,37.15,40.4,45.9,52.5015,32.1465,25.12,30.56,36.34,39.56,45.28,51.6608,32.1465,25.12,30.56,36.34,39.56,45.28,51.6608,32.779,25.8,31.16,36.78,40.009,45.44,52.0624,8.26185,8.30186,8.30186,8.14219,19.4696,26.2412,5.05705,1.52987,6.44122,1.30227,5.13895,1.56337,0.690433,0.388183,1.89275
42173305,CJ McCollum,PG/SG/G/UTIL,ATL,MIL,Confirmed,6800,37,32,37,32,4.705882353,39.02,36.47579326,0,100,116.1412,233.0212,32.3498,25.4625,31.35,37.55,41,47.0575,54.701,30.94,24.21,30.06,36.04,39.52,45.563,52.7,30.94,24.21,30.06,36.04,39.52,45.563,52.7,31.4909,24.88,30.54,36.5,39.82,45.683,52.7,9.07223,8.92599,8.92599,8.73016,19.2085,29.7738,4.09267,2.9339,3.2246,0.6678,2.5568,3.73917,0.758133,0.392233,1.8133
42173290,Onyeka Okongwu,C/UTIL,ATL,MIL,Confirmed,8000,43,31.4,43,31.4,3.925,12.78,13.53135009,0,100,116.1412,233.0212,32.5895,26.1,31.85,38.1,41.3,47.2,53.9,33.1691,26.34,32.46,38.98,42.56,48.32,55.3,33.1691,26.34,32.46,38.98,42.56,48.32,55.3,33.2551,26.6,32.56,38.88,42.426,48.14,55.1,8.78192,9.19569,9.19569,9.03612,16.0898,29.065,5.2275,0.8415,8.11567,1.6377,6.47797,1.44827,0.905667,1.05903,1.07047
