DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,PTS,Min,2PT,3PT,RB,Off Reb,Def Reb,AST,STL,BLK,TO
42172828,Tyrese Maxey,PG/G/UTIL,PHI,UTA,Confirmed,10300,45,56.8,45,56.8,5.514563107,63.93,45.543619,0,100,122.0497,236.937,55.7179,46.75,54.45,62.35,66.35,73.3,81.75,54.7423,45.72,53.42,61.38,65.46,72.74,80.94,54.7423,45.72,53.42,61.38,65.46,72.74,80.94,54.9873,46.18,53.76,61.34,65.42,72.38,80.3206,11.6335,11.7188,11.7188,11.4123,33.4598,35.8527,7.85393,4.23577,3.63833,0.834467,2.80387,6.99033,1.98573,0.572067,2.4512
42172825,Shai Gilgeous-Alexander,PG/G/UTIL,OKC,NYK,Confirmed,10500,42.75,49.9,42.75,49.9,4.752380952,29.19,25.31371341,0,10000,113.9343,224.1015,49.9825,42.35,49.5,56.45,60.45,66.855,74.45,49.0013,41.26,48.56,55.66,59.7,66.22,74.1212,49.0013,41.26,48.56,55.66,59.7,66.22,74.1212,49.9898,42.4,49.52,56.58,60.426,66.82,74.481,10.5902,10.7954,10.7954,10.5823,32.2714,33.2086,10.2011,1.73293,3.96043,0.699933,3.2605,6.5229,0.987367,0.5729,2.95353
42172831,Jaylen Brown,SG/SF/F/G/UTIL,BOS,CHA,Confirmed,9800,44.75,47.6,44.75,47.6,4.857142857,37.8,29.23490138,0,100,112.0112,217.4242,46.2762,39.05,45.4,52.25,55.85,62.2,70.051,45.2006,37.86,44.48,51.22,54.92,61.363,69.1004,45.2006,37.86,44.48,51.22,54.92,61.363,69.1004,45.8273,38.64,45.06,51.64,55.32,61.345,69.2406,9.81006,9.90675,9.90675,9.63778,27.0657,34.2923,8.09133,2.3037,6.2291,1.44213,4.78697,5.15207,1.2698,0.357133,2.4464
42172881,Donovan Clingan,C/UTIL,POR,MEM,Confirmed,7400,28.75,42.3,28.75,42.3,5.716216216,52.19,40.50336345,0,100,118.5423,229.4651,37.7282,29.6,35.325,41.5,44.85,50.8,58.1,38.272,29.63,35.58,42.1,45.66,51.98,60.2004,38.272,29.63,35.58,42.1,45.66,51.98,60.2004,38.6564,30.14,36.07,42.44,45.96,52.142,60.1608,8.90387,9.40213,9.40213,9.27654,13.0978,29.6475,4.3546,0.8928,12.6038,2.4252,10.1785,1.8175,0.78965,1.4456,1.6353
42172847,Karl-Anthony Towns,C/UTIL,NYK,OKC,Confirmed,8600,41.25,40.8,41.25,40.8,4.744186047,14.8,14.54088127,0,10000,110.1672,224.1015,39.8013,31.65,38.4,45.05,48.9,55.4,63.201,38.8646,30.76,37.4,44.2,47.98,54.54,62.521,38.8646,30.76,37.4,44.2,47.98,54.54,62.521,39.3871,31.4,37.84,44.6,48.206,54.74,62.5206,9.93808,10.0111,10.0111,9.83064,20.0742,30.7041,5.00903,1.9087,10.9629,2.77447,8.18847,1.1801,0.822267,0.691567,1.86977
42172838,Jalen Brunson,PG/G/UTIL,NYK,OKC,Confirmed,9100,45.25,38.4,45.25,38.4,4.21978022,4.8,5.886535317,0,10000,110.1672,224.1015,39.4959,30.8,37.3,44,47.65,53.855,61.251,38.1397,29.5,35.84,42.62,46.32,52.52,59.9212,38.1397,29.5,35.84,42.62,46.32,52.52,59.9212,38.8254,30.3,36.58,43.12,46.82,52.94,60.1606,9.91485,9.86284,9.86284,9.66077,24.312,34.1586,6.2631,2.37667,1.15037,0.283867,0.8665,6.38523,0.892633,0.136767,2.2687
42172893,Jrue Holiday,PG/G/UTIL,POR,MEM,Confirmed,7000,63.75,38,63.75,38,5.428571429,22.06,20.82369865,0,100,118.5423,229.4651,36.8801,30.05,36,42.25,45.5725,51.65,58.604,35.8846,28.98,35,41.12,44.646,50.502,57.26,35.8846,28.98,35,41.12,44.646,50.502,57.26,36.3048,29.62,35.36,41.48,44.74,50.442,57.4408,8.95534,8.94954,8.94954,8.7085,18.3294,30.2484,4.5283,2.5858,5.0444,0.9888,4.0556,5.7019,0.99685,0.4165,1.8765
42172856,Derrick White,PG/G/UTIL,BOS,CHA,Confirmed,8300,39,36.6,39,36.6,4.409638554,3.19,4.328859069,0,100,112.0112,217.4242,36.2592,30.5,36.35,42.6,46.1,52.3,58.4015,36.1209,30.22,36.31,42.68,46.32,52.48,59.3006,36.1209,30.22,36.31,42.68,46.32,52.48,59.3006,36.3919,30.62,36.5,42.72,46.32,52.28,58.8204,9.03522,9.25409,9.25409,9.00332,17.3667,34.2096,2.87027,2.98713,3.6353,0.8474,2.7879,6.2247,1.2106,1.19367,1.65583
42173023,Quentin Grimes,PG/SG/G/UTIL,PHI,UTA,Confirmed,4400,25.75,35.6,25.75,35.6,8.090909091,67.44,54.54650561,0,100,122.0497,236.937,33.2123,26.3,32.3,38.35,41.8,48.05,55.15,32.0723,25.305,31.18,37.28,40.78,46.76,53.6614,32.0723,25.305,31.18,37.28,40.78,46.76,53.6614,32.2917,25.72,31.48,37.34,40.68,46.285,53.3016,8.95318,8.91274,8.91274,8.59668,16.3554,33.698,1.9762,3.6315,3.90973,0.883633,3.0261,4.44887,1.54323,0.3732,1.94013
42172871,Keyonte George,PG/G/UTIL,UTA,PHI,Confirmed,7700,41.5,35.4,41.5,35.4,4.597402597,12.21,12.63740147,0,100,114.8873,236.937,33.5998,24.85,30.8,37.25,40.7,46.7,54.05,31.6667,22.9,28.94,35.22,38.7,44.52,51.5406,31.6667,22.9,28.94,35.22,38.7,44.52,51.5406,32.7587,24.2,30.08,36.26,39.6,45.22,52.1804,9.19282,9.06162,9.06162,8.84642,19.7758,28.6176,3.56423,2.87523,1.3311,0.302533,1.02856,5.1035,0.639633,0.3893,2.89307
